NAME,MASS,BINDING ENERGY,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY
H,1,0,0,0,0,0
H+,1,0,0,0,0,0
H2,2,440,0,0,0,0
#H2,2,440,0,0,0,0
H2+,2,0,0,0,0,0
H3+,3,0,0,0,0,0
HE,4,0,0,0,0,0
HE+,4,0,0,0,0,0
C,12,0,0,0,0,0
C+,12,0,0,0,0,0
CH,13,0,0,0,0,0
CH+,13,0,0,0,0,0
CH2,14,0,0,0,0,0
CH2+,14,0,0,0,0,0
N,14,0,0,0,0,0
N+,14,0,0,0,0,0
CH3,15,0,0,0,0,0
CH3+,15,0,0,0,0,0
NH,15,0,0,0,0,0
NH+,15,0,0,0,0,0
#CH4,16,960,0,0.7,0.667,-15.9
CH4,16,0,0,0,0,0
CH4+,16,0,0,0,0,0
NH2,16,0,0,0,0,0
NH2+,16,0,0,0,0,0
O,16,0,0,0,0,0
O+,16,0,0,0,0,0
#NH3,17,5500,0,0,0,-9.3
CH5+,17,0,0,0,0,0
NH3,17,0,0,0,0,0
NH3+,17,0,0,0,0,0
OH,17,0,0,0,0,0
OH+,17,0,0,0,0,0
#H2O,18,5600,0,0,0,-57.1
H2O,18,0,0,0,0,0
H2O+,18,0,0,0,0,0
NH4+,18,0,0,0,0,0
H3O+,19,0,0,0,0,0
C2,24,0,0,0,0,0
C2+,24,0,0,0,0,0
MG,24,0,0,0,0,0
MG+,24,0,0,0,0,0
#C2,24,10000,0,0,0,196.6
#MG,24,5300,0,0,0,35
CN,26,0,0,0,0,0
CN+,26,0,0,0,0,0
#HCN,27,3700,0,0.1,0.5,31.6
#HNC,27,3800,0,0.1,0.5,46.4
HCN,27,0,0,0,0,0
HCN+,27,0,0,0,0,0
HNC,27,0,0,0,0,0
#CO,28,1300,0.35,0.7,0.667,-27.2
#N2,28,1100,0.35,0.7,0.667,0
CO,28,0,0,0,0,0
CO+,28,0,0,0,0,0
H2CN,28,0,0,0,0,0
N2,28,0,0,0,0,0
N2+,28,0,0,0,0,0
SI,28,0,0,0,0,0
SI+,28,0,0,0,0,0
#H2CN,28,2400,0,0,0,55.7
HCO,29,0,0,0,0,0
HCO+,29,0,0,0,0,0
HOC+,29,0,0,0,0,0
N2H+,29,0,0,0,0,0
#H2CO,30,4500,0,0,0,-25.1
H2CO,30,0,0,0,0,0
H2CO+,30,0,0,0,0,0
HNO,31,0,0,0,0,0
HNO+,31,0,0,0,0,0
#HNO,31,3000,0,0,0,26.3
#O2,32,1200,0.35,0.7,0.667,0
#CH3OH,32,5000,0,0,0,-45.4
CH3OH,32,0,0,0,0,0
O2,32,0,0,0,0,0
O2+,32,0,0,0,0,0
S,32,0,0,0,0,0
S+,32,0,0,0,0,0
HS,33,0,0,0,0,0
HS+,33,0,0,0,0,0
#H2S,34,2700,0,0.1,0.5,-4.2
H2S,34,0,0,0,0,0
H2S+,34,0,0,0,0,0
#HNCO,43,4400,0,0,0,-28.45
HNCO,43,0,0,0,0,0
#SIO,44,3500,0.35,0.7,0.667,-24.3
SIO,44,0,0,0,0,0
SIO+,44,0,0,0,0,0
HCS,45,0,0,0,0,0
HCS+,45,0,0,0,0,
#H2CS,46,4400,0,0,0,28.3
NS,46,0,0,0,0,0
NS+,46,0,0,0,0,0
#SO,48,2800,0,0,0,1.2
SO,48,0,0,0,0,0
SO+,48,0,0,0,0,0